series_reference,period,data_value,suppressed,status,units,magnitude,subject,groupe,series_title_1,series_title_2,series_title_3
BDCQ.SED2REA,2015.09,201.144789,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2015.12,209.953201,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2016.03,207.580829,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2016.06,210.459232,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2016.09,205.338351,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2016.12,221.87544,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2017.03,214.719324,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2017.06,222.471422,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2017.09,219.632812,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2017.12,240.292742,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2018.03,232.298625,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2018.06,236.546733,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2018.09,235.013851,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2018.12,259.31691,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2019.03,242.665025,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2019.06,255.997886,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2019.09,252.157128,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2019.12,279.794992,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2020.03,259.819887,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2020.06,260.020099,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2020.09,276.040291,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2020.12,285.753295,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2021.03,285.218719,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2021.06,290.571547,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2021.09,295.059243,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2021.12,318.594733,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2022.03,303.714577,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2REA,2022.06,316.381898,,F,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Actual
BDCQ.SED2RES,2011.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2011.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2011.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2012.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2012.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2012.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2012.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2013.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2013.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2013.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2013.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2014.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2014.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2014.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2014.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2015.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2015.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2015.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2015.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2016.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2016.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2016.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2016.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2017.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2017.06,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2017.09,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2017.12,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
BDCQ.SED2RES,2018.03,,Y,R,Value,6,Business Data Collection - BDC,Region by employment variable,Total earnings,Gisborne,Seasonally adjusted
