series_reference,period,data_value,suppressed,status,units,magnitude,subject,groupe,series_title_1,series_title_2,series_title_3
BDCQ.SEC2ADA,2018.09,3469.112106,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2018.12,3700.226685,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2019.03,3478.618395,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2019.06,3704.23522,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2019.09,3759.125111,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2019.12,4079.036082,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2020.03,3795.447689,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2020.06,3810.88944,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2020.09,4038.097473,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2020.12,4119.939358,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2021.03,4096.7252,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2021.06,4320.576607,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2021.09,4410.00635,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2021.12,4702.285625,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2022.03,4623.546913,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2ADA,2022.06,4763.461384,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,30-34,Actual
BDCQ.SEC2AEA,2011.06,2605.921056,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2011.09,2632.311384,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2011.12,2685.473944,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2012.03,2553.860646,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2012.06,2619.595746,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2012.09,2622.037207,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2012.12,2701.457856,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2013.03,2537.102658,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2013.06,2620.692133,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2013.09,2636.969972,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2013.12,2761.981063,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2014.03,2560.591347,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2014.06,2686.597791,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2014.09,2745.251889,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2014.12,2859.249667,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2015.03,2650.879388,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2015.06,2793.930058,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2015.09,2885.11662,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2015.12,2938.43122,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2016.03,2858.938405,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2016.06,2939.965904,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2016.09,2972.486802,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2016.12,3081.617667,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2017.03,2974.474822,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2017.06,3118.90269,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2017.09,3163.582962,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2017.12,3326.707478,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2018.03,3198.546386,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2018.06,3366.694938,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2018.09,3420.778945,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2018.12,3614.497966,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2019.03,3391.72347,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
BDCQ.SEC2AEA,2019.06,3619.094147,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,35-39,Actual
