series_reference,period,data_value,suppressed,status,units,magnitude,subject,groupe,series_title_1,series_title_2,series_title_3
BDCQ.SEA1HS,2013.09,112840,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2013.12,113533,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2014.03,114533,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2014.06,114651,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2014.09,115848,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2014.12,118027,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2015.03,118895,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2015.06,121104,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2015.09,121810,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2015.12,123358,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2016.03,126117,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2016.06,128094,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2016.09,131348,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2016.12,133127,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2017.03,135234,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2017.06,136743,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2017.09,137284,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2017.12,137604,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2018.03,138652,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2018.06,139752,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2018.09,138485,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2018.12,140083,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2019.03,143270,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2019.06,143454,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2019.09,142912,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2019.12,143921,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2020.03,145390,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2020.06,142408,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2020.09,139735,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2020.12,133447,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2021.03,138587,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2021.06,139943,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2021.09,142686,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2021.12,139869,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2022.03,138077,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HS,2022.06,137857,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted
BDCQ.SEA1HT,2011.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2011.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2011.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2012.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2012.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2012.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2012.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2013.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2013.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2013.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2013.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2014.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2014.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2014.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2014.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2015.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2015.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2015.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2015.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2016.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2016.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2016.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2016.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2017.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2017.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2017.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2017.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2018.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2018.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2018.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2018.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2019.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2019.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2019.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2019.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2020.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2020.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2020.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2020.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2021.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2021.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2021.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2021.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2022.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1HT,2022.06,,Y,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Trend
BDCQ.SEA1IA,2011.06,75245,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2011.09,75920,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2011.12,77045,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2012.03,76430,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2012.06,76950,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2012.09,76194,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2012.12,77327,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2013.03,76687,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2013.06,78158,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2013.09,78229,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2013.12,79389,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2014.03,79737,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2014.06,80385,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2014.09,80773,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2014.12,81723,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2015.03,81326,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2015.06,82116,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2015.09,81791,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2015.12,83268,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2016.03,83028,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2016.06,83690,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2016.09,83850,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2016.12,85305,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2017.03,84997,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2017.06,86158,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2017.09,85658,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2017.12,87824,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2018.03,87091,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2018.06,86960,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2018.09,86621,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2018.12,89405,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2019.03,90235,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2019.06,91895,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
BDCQ.SEA1IA,2019.09,89864,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Transport- Postal and Warehousing",Actual
